,index,NOM,SEXE,GRUP_EDAT,INGRESSOS_TOTAL,INGRESSOS_CRITIC,Tasa (ingresos/población),Tasa (ingresos críticos/población)
0,0,ALT CAMP,Mujer,0 a 9,2,0,4.426443573910542e-05,0.0
1,1,ALT CAMP,Mujer,10 a 19,6,0,0.00013279330721731626,0.0
2,2,ALT CAMP,Mujer,20 a 29,17,0,0.00037624770378239604,0.0
3,3,ALT CAMP,Mujer,30 a 39,23,0,0.0005090410109997123,0.0
4,4,ALT CAMP,Mujer,40 a 49,14,2,0.0003098510501737379,4.426443573910542e-05
5,5,ALT CAMP,Mujer,50 a 59,20,2,0.00044264435739105416,4.426443573910542e-05
6,6,ALT CAMP,Mujer,60 a 69,34,9,0.0007524954075647921,0.00019918996082597437
7,7,ALT CAMP,Mujer,70 a 79,45,11,0.000995949804129872,0.00024345439656507978
8,8,ALT CAMP,Mujer,80 o más,37,1,0.0008188920611734502,2.213221786955271e-05
9,9,ALT CAMP,Hombre,0 a 9,6,0,0.00013279330721731626,0.0
10,10,ALT CAMP,Hombre,10 a 19,2,0,4.426443573910542e-05,0.0
11,11,ALT CAMP,Hombre,20 a 29,5,0,0.00011066108934776354,0.0
12,12,ALT CAMP,Hombre,30 a 39,9,2,0.00019918996082597437,4.426443573910542e-05
13,13,ALT CAMP,Hombre,40 a 49,28,6,0.0006197021003474758,0.00013279330721731626
14,14,ALT CAMP,Hombre,50 a 59,36,7,0.0007967598433038975,0.00015492552508686896
15,15,ALT CAMP,Hombre,60 a 69,70,11,0.0015492552508686896,0.00024345439656507978
16,16,ALT CAMP,Hombre,70 a 79,79,20,0.001748445211694664,0.00044264435739105416
17,17,ALT CAMP,Hombre,80 o más,58,2,0.0012836686364340571,4.426443573910542e-05
18,18,ALT CAMP,Residencia,Residencia,59,1,0.0013058008543036098,2.213221786955271e-05
19,19,ALT EMPORDA,Mujer,0 a 9,12,0,8.484642796538266e-05,0.0
20,20,ALT EMPORDA,Mujer,10 a 19,16,0,0.00011312857062051021,0.0
21,21,ALT EMPORDA,Mujer,20 a 29,41,8,0.00028989196221505743,5.6564285310255106e-05
22,22,ALT EMPORDA,Mujer,30 a 39,88,21,0.0006222071384128061,0.00014848124893941965
23,23,ALT EMPORDA,Mujer,40 a 49,75,20,0.0005302901747836417,0.00014141071327563776
24,24,ALT EMPORDA,Mujer,50 a 59,94,29,0.0006646303523954975,0.00020504553424967475
25,25,ALT EMPORDA,Mujer,60 a 69,152,50,0.001074721420894847,0.0003535267831890944
26,26,ALT EMPORDA,Mujer,70 a 79,162,40,0.0011454267775326658,0.0002828214265512755
27,27,ALT EMPORDA,Mujer,80 o más,173,22,0.0012232026698342667,0.00015555178460320153
28,28,ALT EMPORDA,Hombre,0 a 9,18,2,0.000127269641948074,1.4141071327563777e-05
29,29,ALT EMPORDA,Hombre,10 a 19,10,1,7.070535663781888e-05,7.070535663781888e-06
30,30,ALT EMPORDA,Hombre,20 a 29,20,5,0.00014141071327563776,3.535267831890944e-05
31,31,ALT EMPORDA,Hombre,30 a 39,42,15,0.0002969624978788393,0.00010605803495672833
32,32,ALT EMPORDA,Hombre,40 a 49,138,46,0.0009757339216019006,0.00032524464053396683
33,33,ALT EMPORDA,Hombre,50 a 59,211,92,0.0014918830250579783,0.0006504892810679337
34,34,ALT EMPORDA,Hombre,60 a 69,289,115,0.0020433848068329655,0.0008131116013349171
35,35,ALT EMPORDA,Hombre,70 a 79,232,92,0.001640364273997398,0.0006504892810679337
36,36,ALT EMPORDA,Hombre,80 o más,171,32,0.001209061598506703,0.00022625714124102042
37,37,ALT EMPORDA,Residencia,Residencia,190,8,0.0013434017761185587,5.6564285310255106e-05
38,38,ALT PENEDES,Mujer,0 a 9,33,0,0.00029670655721491444,0.0
39,39,ALT PENEDES,Mujer,10 a 19,10,0,8.991107794391346e-05,0.0
40,40,ALT PENEDES,Mujer,20 a 29,45,1,0.0004045998507476106,8.991107794391347e-06
41,41,ALT PENEDES,Mujer,30 a 39,83,4,0.0007462619469344818,3.596443117756539e-05
42,42,ALT PENEDES,Mujer,40 a 49,126,5,0.0011328795820933098,4.495553897195673e-05
43,43,ALT PENEDES,Mujer,50 a 59,108,8,0.0009710396417942654,7.192886235513078e-05
44,44,ALT PENEDES,Mujer,60 a 69,157,12,0.0014116039237194414,0.00010789329353269616
45,45,ALT PENEDES,Mujer,70 a 79,166,13,0.0014925238938689636,0.00011688440132708752
46,46,ALT PENEDES,Mujer,80 o más,168,3,0.0015105061094577463,2.697332338317404e-05
47,47,ALT PENEDES,Hombre,0 a 9,34,0,0.00030569766500930577,0.0
48,48,ALT PENEDES,Hombre,10 a 19,24,0,0.00021578658706539232,0.0
49,49,ALT PENEDES,Hombre,20 a 29,26,4,0.00023376880265417503,3.596443117756539e-05
50,50,ALT PENEDES,Hombre,30 a 39,51,0,0.0004585464975139587,0.0
51,51,ALT PENEDES,Hombre,40 a 49,142,12,0.0012767373068035713,0.00010789329353269616
52,52,ALT PENEDES,Hombre,50 a 59,188,13,0.0016903282653455733,0.00011688440132708752
53,53,ALT PENEDES,Hombre,60 a 69,282,33,0.00253549239801836,0.00029670655721491444
54,54,ALT PENEDES,Hombre,70 a 79,306,27,0.002751278985083752,0.00024275991044856636
55,55,ALT PENEDES,Hombre,80 o más,229,11,0.0020589636849156186,9.890218573830482e-05
56,56,ALT PENEDES,Residencia,Residencia,185,5,0.0016633549419623993,4.495553897195673e-05
57,57,ALT URGELL,Mujer,0 a 9,5,2,0.0002470721944952315,9.88288777980926e-05
58,58,ALT URGELL,Mujer,10 a 19,1,0,4.94144388990463e-05,0.0
