,index,NOM,SEXE,GRUP_EDAT,EXITUS,Tasa (muertes/población)
0,0,ALT CAMP,Mujer,0 a 9,0,0.0
1,1,ALT CAMP,Mujer,10 a 19,0,0.0
2,2,ALT CAMP,Mujer,20 a 29,0,0.0
3,3,ALT CAMP,Mujer,30 a 39,0,0.0
4,4,ALT CAMP,Mujer,40 a 49,0,0.0
5,5,ALT CAMP,Mujer,50 a 59,0,0.0
6,6,ALT CAMP,Mujer,60 a 69,2,4.426443573910542e-05
7,7,ALT CAMP,Mujer,70 a 79,5,0.00011066108934776354
8,8,ALT CAMP,Mujer,80 o más,8,0.00017705774295642167
9,9,ALT CAMP,Hombre,0 a 9,0,0.0
10,10,ALT CAMP,Hombre,10 a 19,0,0.0
11,11,ALT CAMP,Hombre,20 a 29,0,0.0
12,12,ALT CAMP,Hombre,30 a 39,0,0.0
13,13,ALT CAMP,Hombre,40 a 49,2,4.426443573910542e-05
14,14,ALT CAMP,Hombre,50 a 59,1,2.213221786955271e-05
15,15,ALT CAMP,Hombre,60 a 69,5,0.00011066108934776354
16,16,ALT CAMP,Hombre,70 a 79,7,0.00015492552508686896
17,17,ALT CAMP,Hombre,80 o más,12,0.0002655866144346325
18,18,ALT CAMP,Residencia,Residencia,56,0.0012394042006949517
19,19,ALT EMPORDA,Mujer,0 a 9,0,0.0
20,20,ALT EMPORDA,Mujer,10 a 19,0,0.0
21,21,ALT EMPORDA,Mujer,20 a 29,1,7.070535663781888e-06
22,22,ALT EMPORDA,Mujer,30 a 39,0,0.0
23,23,ALT EMPORDA,Mujer,40 a 49,1,7.070535663781888e-06
24,24,ALT EMPORDA,Mujer,50 a 59,3,2.1211606991345666e-05
25,25,ALT EMPORDA,Mujer,60 a 69,9,6.3634820974037e-05
26,26,ALT EMPORDA,Mujer,70 a 79,19,0.00013434017761185588
27,27,ALT EMPORDA,Mujer,80 o más,34,0.0002403982125685842
28,28,ALT EMPORDA,Hombre,0 a 9,0,0.0
29,29,ALT EMPORDA,Hombre,10 a 19,0,0.0
30,30,ALT EMPORDA,Hombre,20 a 29,0,0.0
31,31,ALT EMPORDA,Hombre,30 a 39,0,0.0
32,32,ALT EMPORDA,Hombre,40 a 49,1,7.070535663781888e-06
33,33,ALT EMPORDA,Hombre,50 a 59,3,2.1211606991345666e-05
34,34,ALT EMPORDA,Hombre,60 a 69,25,0.0001767633915945472
35,35,ALT EMPORDA,Hombre,70 a 79,36,0.000254539283896148
36,36,ALT EMPORDA,Hombre,80 o más,49,0.0003464562475253125
37,37,ALT EMPORDA,Residencia,Residencia,124,0.0008767464223089542
38,38,ALT PENEDES,Mujer,0 a 9,0,0.0
39,39,ALT PENEDES,Mujer,10 a 19,0,0.0
40,40,ALT PENEDES,Mujer,20 a 29,0,0.0
41,41,ALT PENEDES,Mujer,30 a 39,0,0.0
42,42,ALT PENEDES,Mujer,40 a 49,0,0.0
43,43,ALT PENEDES,Mujer,50 a 59,4,3.596443117756539e-05
44,44,ALT PENEDES,Mujer,60 a 69,5,4.495553897195673e-05
45,45,ALT PENEDES,Mujer,70 a 79,16,0.00014385772471026156
46,46,ALT PENEDES,Mujer,80 o más,28,0.0002517510182429577
47,47,ALT PENEDES,Hombre,0 a 9,0,0.0
48,48,ALT PENEDES,Hombre,10 a 19,0,0.0
49,49,ALT PENEDES,Hombre,20 a 29,1,8.991107794391347e-06
50,50,ALT PENEDES,Hombre,30 a 39,0,0.0
51,51,ALT PENEDES,Hombre,40 a 49,3,2.697332338317404e-05
52,52,ALT PENEDES,Hombre,50 a 59,3,2.697332338317404e-05
53,53,ALT PENEDES,Hombre,60 a 69,21,0.00018881326368221828
54,54,ALT PENEDES,Hombre,70 a 79,28,0.0002517510182429577
55,55,ALT PENEDES,Hombre,80 o más,41,0.00036863541957004523
56,56,ALT PENEDES,Residencia,Residencia,169,0.0015194972172521376
57,57,ALT URGELL,Mujer,0 a 9,0,0.0
58,58,ALT URGELL,Mujer,10 a 19,0,0.0
59,59,ALT URGELL,Mujer,20 a 29,0,0.0
60,60,ALT URGELL,Mujer,30 a 39,0,0.0
61,61,ALT URGELL,Mujer,40 a 49,0,0.0
62,62,ALT URGELL,Mujer,50 a 59,0,0.0
63,63,ALT URGELL,Mujer,60 a 69,0,0.0
64,64,ALT URGELL,Mujer,70 a 79,2,9.88288777980926e-05
65,65,ALT URGELL,Mujer,80 o más,7,0.0003459010722933241
66,66,ALT URGELL,Hombre,0 a 9,0,0.0
