,index,Comarca,G�nero,Edad,PCR,Tasa (PCR/poblaci�n)
0,0,ALT CAMP,Mujer,0 a 9,4428,0.09800146072637939
1,1,ALT CAMP,Mujer,10 a 19,6647,0.14711285217891684
2,2,ALT CAMP,Mujer,20 a 29,9207,0.2037713299249718
3,3,ALT CAMP,Mujer,30 a 39,8941,0.19788415997167075
4,4,ALT CAMP,Mujer,40 a 49,10894,0.2411083814709072
5,5,ALT CAMP,Mujer,50 a 59,9475,0.2097027643140119
6,6,ALT CAMP,Mujer,60 a 69,5740,0.12703893057123256
7,7,ALT CAMP,Mujer,70 a 79,3212,0.0710886837970033
8,8,ALT CAMP,Mujer,80 o més,1776,0.03930681893632561
9,9,ALT CAMP,Hombre,0 a 9,4663,0.10320253192572428
10,10,ALT CAMP,Hombre,10 a 19,6590,0.14585131576035235
11,11,ALT CAMP,Hombre,20 a 29,4945,0.10944381736493813
12,12,ALT CAMP,Hombre,30 a 39,4720,0.10446406834428879
13,13,ALT CAMP,Hombre,40 a 49,5336,0.11809751455193325
14,14,ALT CAMP,Hombre,50 a 59,5368,0.11880574552375893
15,15,ALT CAMP,Hombre,60 a 69,4370,0.09671779208994534
16,16,ALT CAMP,Hombre,70 a 79,3376,0.07471836752760994
17,17,ALT CAMP,Hombre,80 o més,1756,0.038864174578934554
18,18,ALT CAMP,Residencia,Residencia,9962,0.22048115441648408
19,19,ALT EMPORDA,Mujer,0 a 9,13626,0.09634311895469201
20,20,ALT EMPORDA,Mujer,10 a 19,24766,0.17510888624922225
21,21,ALT EMPORDA,Mujer,20 a 29,20747,0.14669240341648282
22,22,ALT EMPORDA,Mujer,30 a 39,23816,0.16839187736862946
23,23,ALT EMPORDA,Mujer,40 a 49,29912,0.21149386277504384
24,24,ALT EMPORDA,Mujer,50 a 59,25087,0.17737852819729621
25,25,ALT EMPORDA,Mujer,60 a 69,16227,0.11473358221618869
26,26,ALT EMPORDA,Mujer,70 a 79,9622,0.06803269415690932
27,27,ALT EMPORDA,Mujer,80 o més,6649,0.04701199162848577
28,28,ALT EMPORDA,Hombre,0 a 9,15060,0.10648226709655524
29,29,ALT EMPORDA,Hombre,10 a 19,24029,0.169897901465015
30,30,ALT EMPORDA,Hombre,20 a 29,13566,0.0959188868148651
31,31,ALT EMPORDA,Hombre,30 a 39,13640,0.09644210645398496
32,32,ALT EMPORDA,Hombre,40 a 49,17314,0.1224192544827196
33,33,ALT EMPORDA,Hombre,50 a 59,15320,0.10832060636913853
34,34,ALT EMPORDA,Hombre,60 a 69,13177,0.09316844844165394
35,35,ALT EMPORDA,Hombre,70 a 79,10426,0.07371740483058997
36,36,ALT EMPORDA,Hombre,80 o més,5779,0.04086062560099553
37,37,ALT EMPORDA,Residencia,Residencia,18556,0.13120085977713672
38,38,ALT PENEDES,Mujer,0 a 9,10311,0.09270731246796918
39,39,ALT PENEDES,Mujer,10 a 19,19673,0.17688206363906098
40,40,ALT PENEDES,Mujer,20 a 29,20744,0.1865115400868541
41,41,ALT PENEDES,Mujer,30 a 39,20040,0.1801818001996026
42,42,ALT PENEDES,Mujer,40 a 49,26450,0.23781480116165113
43,43,ALT PENEDES,Mujer,50 a 59,22570,0.2029293029194127
44,44,ALT PENEDES,Mujer,60 a 69,14613,0.13138705819944074
45,45,ALT PENEDES,Mujer,70 a 79,8233,0.07402379047122395
46,46,ALT PENEDES,Mujer,80 o més,4811,0.04325621959881677
47,47,ALT PENEDES,Hombre,0 a 9,11640,0.10465649472671527
48,48,ALT PENEDES,Hombre,10 a 19,20092,0.18064933780491094
49,49,ALT PENEDES,Hombre,20 a 29,12357,0.11110311901529388
50,50,ALT PENEDES,Hombre,30 a 39,11159,0.10033177187761304
51,51,ALT PENEDES,Hombre,40 a 49,16878,0.15175191735373716
52,52,ALT PENEDES,Hombre,50 a 59,14062,0.12643295780473113
53,53,ALT PENEDES,Hombre,60 a 69,11525,0.10362251733036028
54,54,ALT PENEDES,Hombre,70 a 79,8610,0.07741343810970949
55,55,ALT PENEDES,Hombre,80 o més,4350,0.039111318905602356
56,56,ALT PENEDES,Residencia,Residencia,20579,0.18502800730077953
57,57,ALT URGELL,Mujer,0 a 9,2258,0.11157780303404655
58,58,ALT URGELL,Mujer,10 a 19,4010,0.19815189998517566
59,59,ALT URGELL,Mujer,20 a 29,4362,0.21554578247763997
60,60,ALT URGELL,Mujer,30 a 39,4845,0.23941295646587932
61,61,ALT URGELL,Mujer,40 a 49,6529,0.3226268715718733
62,62,ALT URGELL,Mujer,50 a 59,6052,0.29905618421702823
63,63,ALT URGELL,Mujer,60 a 69,4263,0.2106537530266344
64,64,ALT URGELL,Mujer,70 a 79,2169,0.10717991797203143
65,65,ALT URGELL,Mujer,80 o més,1441,0.07120620645352572
66,66,ALT URGELL,Hombre,0 a 9,2363,0.11676631911844641
67,67,ALT URGELL,Hombre,10 a 19,4463,0.22053664080644364
68,68,ALT URGELL,Hombre,20 a 29,2416,0.11938528438009587
69,69,ALT URGELL,Hombre,30 a 39,2551,0.12605623363146712
70,70,ALT URGELL,Hombre,40 a 49,2902,0.14340070168503236
71,71,ALT URGELL,Hombre,50 a 59,2850,0.14083115086228196
72,72,ALT URGELL,Hombre,60 a 69,2587,0.12783515343183277
73,73,ALT URGELL,Hombre,70 a 79,1953,0.09650639916983743
74,74,ALT URGELL,Hombre,80 o més,1018,0.050303898799229134
75,75,ALT URGELL,Residencia,Residencia,4676,0.2310619162919405
76,76,ALTA RIBAGORCA,Mujer,0 a 9,312,0.0781367392937641
77,77,ALTA RIBAGORCA,Mujer,10 a 19,522,0.13072877535687452
78,78,ALTA RIBAGORCA,Mujer,20 a 29,604,0.15126471324818433
79,79,ALTA RIBAGORCA,Mujer,30 a 39,902,0.22589531680440772
