,index,NOM,CASOS_CONFIRMAT,TASA
0,0,ALT CAMP,96427.0,2.134143372507359
1,1,ALT EMPORDA,299974.0,2.120976865207308
2,2,ALT PENEDES,260202.0,2.3395042303162175
3,3,ALT URGELL,48090.0,2.376340366655137
4,4,ALTA RIBAGORCA,8142.0,2.039068369646882
5,5,ANOIA,279926.0,2.230681573683749
6,6,BAGES,458829.0,2.5505236358785077
7,7,BAIX CAMP,469673.0,2.3729727271808656
8,8,BAIX EBRE,165362.0,2.082802226868529
9,9,BAIX EMPORDA,282576.0,2.066837820639414
10,10,BAIX LLOBREGAT,1934604.0,2.333972341290571
11,11,BAIX PENEDES,218341.0,1.9474735762386834
12,12,BARCELONES,5295113.0,2.334648262653127
13,13,BERGUEDA,97181.0,2.4130558935266806
14,14,CERDANYA,39802.0,2.0585466770106025
15,15,CONCA DE BARBERA,50793.0,2.537746689982513
16,16,GARRAF,336229.0,2.178495529350784
17,17,GARRIGUES,47861.0,2.5174100568062276
18,18,GARROTXA,150431.0,2.56201035492881
19,19,GIRONES,493754.0,2.5624665908961166
20,20,MARESME,1051708.0,2.2983983233642857
21,21,MOIANES,35598.0,2.4972290424412487
22,22,MONTSIA,140885.0,2.0152915260056075
23,23,NOGUERA,95718.0,2.4668316066182157
24,24,OSONA,408716.0,2.4972413498139514
25,25,PALLARS JUSSA,29538.0,2.248458552180863
26,26,PALLARS SOBIRA,15356.0,2.135744089012517
27,27,PLA D'URGELL,94270.0,2.4971523933140842
28,28,PLA DE L'ESTANY,83792.0,2.55900317615441
29,29,PRIORAT,19313.0,2.0912831618841365
30,30,RIBERA D'EBRE,38039.0,1.7582158539403745
31,31,RIPOLLES,63394.0,2.4914128512477896
32,32,SEGARRA,57704.0,2.4862768753500797
33,33,SEGRIA,527477.0,2.5220154052852273
34,34,SELVA,380791.0,2.189120824159083
35,36,SOLSONES,34981.0,2.50903744082628
36,37,TARRAGONES,567488.0,2.148810650753141
37,38,TERRA ALTA,22940.0,2.0311669913228263
38,39,URGELL,94665.0,2.5334528715944975
39,40,VALL D'ARAN,23174.0,2.273298018442221
40,41,VALLES OCCIDENTAL,2344879.0,2.4919832640607713
41,42,VALLES ORIENTAL,997473.0,2.3905024384983165
