,index,Comarca,Género,Edad,Casos confirmados,Tasa (casos/población)
0,0,ALT CAMP,Mujer,0 a 9,604,0.013367859593209835
1,1,ALT CAMP,Mujer,10 a 19,998,0.022087953433813604
2,2,ALT CAMP,Mujer,20 a 29,989,0.021888763472987627
3,3,ALT CAMP,Mujer,30 a 39,1049,0.02321669654516079
4,4,ALT CAMP,Mujer,40 a 49,1292,0.0285948254874621
5,5,ALT CAMP,Mujer,50 a 59,885,0.019587012814554147
6,6,ALT CAMP,Mujer,60 a 69,536,0.011862868778080252
7,7,ALT CAMP,Mujer,70 a 79,417,0.009229134851603479
8,8,ALT CAMP,Mujer,80 o más,190,0.004205121395215014
9,9,ALT CAMP,Hombre,0 a 9,623,0.013788371732731336
10,10,ALT CAMP,Hombre,10 a 19,1056,0.02337162207024766
11,11,ALT CAMP,Hombre,20 a 29,893,0.019764070557510567
12,12,ALT CAMP,Hombre,30 a 39,836,0.018502534138946064
13,13,ALT CAMP,Hombre,40 a 49,1106,0.024478232963725297
14,14,ALT CAMP,Hombre,50 a 59,745,0.016488502312816768
15,15,ALT CAMP,Hombre,60 a 69,477,0.010557067923776642
16,16,ALT CAMP,Hombre,70 a 79,366,0.00810039174025629
17,17,ALT CAMP,Hombre,80 o más,175,0.003873138127171724
18,18,ALT CAMP,Residencia,Residencia,455,0.010070159130646482
19,19,ALT EMPORDA,Mujer,0 a 9,1975,0.01396430793596923
20,20,ALT EMPORDA,Mujer,10 a 19,3479,0.02459839357429719
21,21,ALT EMPORDA,Mujer,20 a 29,2853,0.020172238248769726
22,22,ALT EMPORDA,Mujer,30 a 39,3554,0.02512868374908083
23,23,ALT EMPORDA,Mujer,40 a 49,4156,0.02938514621867753
24,24,ALT EMPORDA,Mujer,50 a 59,2824,0.019967192714520052
25,25,ALT EMPORDA,Mujer,60 a 69,1782,0.012599694552859324
26,26,ALT EMPORDA,Mujer,70 a 79,1074,0.007593755302901748
27,27,ALT EMPORDA,Mujer,80 o más,629,0.004447366932518807
28,28,ALT EMPORDA,Hombre,0 a 9,2156,0.01524407489111375
29,29,ALT EMPORDA,Hombre,10 a 19,3311,0.023410543582781832
30,30,ALT EMPORDA,Hombre,20 a 29,2473,0.01748543469653261
31,31,ALT EMPORDA,Hombre,30 a 39,2578,0.018227840941229707
32,32,ALT EMPORDA,Hombre,40 a 49,3317,0.023452966796764525
33,33,ALT EMPORDA,Hombre,50 a 59,2421,0.01711776684201595
34,34,ALT EMPORDA,Hombre,60 a 69,1593,0.011263363312404549
35,35,ALT EMPORDA,Hombre,70 a 79,1027,0.007261440126703999
36,36,ALT EMPORDA,Hombre,80 o más,506,0.003577691045873635
